date_key,release_date_parsed,release_year,release_month,release_day,release_quarter,release_weekday
202507292081,2025-07-29,2025,7,29,3,Tuesday
202507013444,2025-07-01,2025,7,1,3,Tuesday
202501171464,2025-01-17,2025,1,17,1,Friday
202507274274,2025-07-27,2025,7,27,3,Sunday
202501298160,2025-01-29,2025,1,29,1,Wednesday
202506062818,2025-06-06,2025,6,6,2,Friday
202507187404,2025-07-18,2025,7,18,3,Friday
202407056022,2024-07-05,2024,7,5,3,Friday
202508048704,2025-08-04,2025,8,4,3,Monday
202508085816,2025-08-08,2025,8,8,3,Friday
202507259342,2025-07-25,2025,7,25,3,Friday
202506251254,2025-06-25,2025,6,25,2,Wednesday
202505178453,2025-05-17,2025,5,17,2,Saturday
202507316713,2025-07-31,2025,7,31,3,Thursday
202506184096,2025-06-18,2025,6,18,2,Wednesday
202507234487,2025-07-23,2025,7,23,3,Wednesday
202507099005,2025-07-09,2025,7,9,3,Wednesday
202503209327,2025-03-20,2025,3,20,1,Thursday
202505083210,2025-05-08,2025,5,8,2,Thursday
202506271972,2025-06-27,2025,6,27,2,Friday
202506209154,2025-06-20,2025,6,20,2,Friday
202506043900,2025-06-04,2025,6,4,2,Wednesday
202507169445,2025-07-16,2025,7,16,3,Wednesday
202301188124,2023-01-18,2023,1,18,1,Wednesday
202507112726,2025-07-11,2025,7,11,3,Friday
202506191170,2025-06-19,2025,6,19,2,Thursday
202505159671,2025-05-15,2025,5,15,2,Thursday
202505142053,2025-05-14,2025,5,14,2,Wednesday
200208096439,2002-08-09,2002,8,9,3,Friday
202101161309,2021-01-16,2021,1,16,1,Saturday
202504307730,2025-04-30,2025,4,30,2,Wednesday
202501138245,2025-01-13,2025,1,13,1,Monday
202507104374,2025-07-10,2025,7,10,3,Thursday
202508062202,2025-08-06,2025,8,6,3,Wednesday
200511234277,2005-11-23,2005,11,23,4,Wednesday
202504046418,2025-04-04,2025,4,4,2,Friday
202405105762,2024-05-10,2024,5,10,2,Friday
202507245143,2025-07-24,2025,7,24,3,Thursday
202410285726,2024-10-28,2024,10,28,4,Monday
202306036130,2023-06-03,2023,6,3,2,Saturday
202308165715,2023-08-16,2023,8,16,3,Wednesday
201907261307,2019-07-26,2019,7,26,3,Friday
202505287592,2025-05-28,2025,5,28,2,Wednesday
202502149991,2025-02-14,2025,2,14,1,Friday
202502215012,2025-02-21,2025,2,21,1,Friday
202005297886,2020-05-29,2020,5,29,2,Friday
202506127246,2025-06-12,2025,6,12,2,Thursday
202503311321,2025-03-31,2025,3,31,1,Monday
202507288727,2025-07-28,2025,7,28,3,Monday
202402076442,2024-02-07,2024,2,7,1,Wednesday
202506246576,2025-06-24,2025,6,24,2,Tuesday
197702231219,1977-02-23,1977,2,23,1,Wednesday
200910106189,2009-10-10,2009,10,10,4,Saturday
202008159401,2020-08-15,2020,8,15,3,Saturday
202504187664,2025-04-18,2025,4,18,2,Friday
202507306369,2025-07-30,2025,7,30,3,Wednesday
202407093554,2024-07-09,2024,7,9,3,Tuesday
202503283760,2025-03-28,2025,3,28,1,Friday
202503265260,2025-03-26,2025,3,26,1,Wednesday
202506057259,2025-06-05,2025,6,5,2,Thursday
202504095025,2025-04-09,2025,4,9,2,Wednesday
202411214839,2024-11-21,2024,11,21,4,Thursday
202409072925,2024-09-07,2024,9,7,3,Saturday
202507057652,2025-07-05,2025,7,5,3,Saturday
202504251096,2025-04-25,2025,4,25,2,Friday
202306081524,2023-06-08,2023,6,8,2,Thursday
202504164370,2025-04-16,2025,4,16,2,Wednesday
202504232767,2025-04-23,2025,4,23,2,Wednesday
202412198483,2024-12-19,2024,12,19,4,Thursday
202508072075,2025-08-07,2025,8,7,3,Thursday
202507022944,2025-07-02,2025,7,2,3,Wednesday
202409061026,2024-09-06,2024,9,6,3,Friday
202410048291,2024-10-04,2024,10,4,4,Friday
201411054216,2014-11-05,2014,11,5,4,Wednesday
199409231676,1994-09-23,1994,9,23,3,Friday
202406118512,2024-06-11,2024,6,11,2,Tuesday
202406202571,2024-06-20,2024,6,20,2,Thursday
202502139848,2025-02-13,2025,2,13,1,Thursday
202502127920,2025-02-12,2025,2,12,1,Wednesday
202407246022,2024-07-24,2024,7,24,3,Wednesday
202505096812,2025-05-09,2025,5,9,2,Friday
202411011900,2024-11-01,2024,11,1,4,Friday
202407127949,2024-07-12,2024,7,12,3,Friday
202410248382,2024-10-24,2024,10,24,4,Thursday
200111167763,2001-11-16,2001,11,16,4,Friday
201708087328,2017-08-08,2017,8,8,3,Tuesday
200308052162,2003-08-05,2003,8,5,3,Tuesday
202406281425,2024-06-28,2024,6,28,2,Friday
202506139017,2025-06-13,2025,6,13,2,Friday
202204262582,2022-04-26,2022,4,26,2,Tuesday
202402132518,2024-02-13,2024,2,13,1,Tuesday
202210241936,2022-10-24,2022,10,24,4,Monday
202211033015,2022-11-03,2022,11,3,4,Thursday
202412187111,2024-12-18,2024,12,18,4,Wednesday
202503127165,2025-03-12,2025,3,12,1,Wednesday
201812118196,2018-12-11,2018,12,11,4,Tuesday
202404115615,2024-04-11,2024,4,11,2,Thursday
201204255013,2012-04-25,2012,4,25,2,Wednesday
202203178320,2022-03-17,2022,3,17,1,Thursday
200210317149,2002-10-31,2002,10,31,4,Thursday
201804256322,2018-04-25,2018,4,25,2,Wednesday
202503076846,2025-03-07,2025,3,7,1,Friday
202412261967,2024-12-26,2024,12,26,4,Thursday
197308168916,1973-08-16,1973,8,16,3,Thursday
202403276113,2024-03-27,2024,3,27,1,Wednesday
200506292069,2005-06-29,2005,6,29,2,Wednesday
201112077472,2011-12-07,2011,12,7,4,Wednesday
202410225202,2024-10-22,2024,10,22,4,Tuesday
202501026099,2025-01-02,2025,1,2,1,Thursday
202206019595,2022-06-01,2022,6,1,2,Wednesday
202112154627,2021-12-15,2021,12,15,4,Wednesday
199602168947,1996-02-16,1996,2,16,1,Friday
197901242312,1979-01-24,1979,1,24,1,Wednesday
202504116009,2025-04-11,2025,4,11,2,Friday
197203141746,1972-03-14,1972,3,14,1,Tuesday
201307184791,2013-07-18,2013,7,18,3,Thursday
201007156347,2010-07-15,2010,7,15,3,Thursday
202505011682,2025-05-01,2025,5,1,2,Thursday
202501226316,2025-01-22,2025,1,22,1,Wednesday
199711184122,1997-11-18,1997,11,18,4,Tuesday
202305175508,2023-05-17,2023,5,17,2,Wednesday
202303168125,2023-03-16,2023,3,16,1,Thursday
202411299784,2024-11-29,2024,11,29,4,Friday
200112189551,2001-12-18,2001,12,18,4,Tuesday
200912154425,2009-12-15,2009,12,15,4,Tuesday
202409126236,2024-09-12,2024,9,12,3,Thursday
202412111769,2024-12-11,2024,12,11,4,Wednesday
202507175041,2025-07-17,2025,7,17,3,Thursday
202307153969,2023-07-15,2023,7,15,3,Saturday
200807167220,2008-07-16,2008,7,16,3,Wednesday
202503278546,2025-03-27,2025,3,27,1,Thursday
202501104260,2025-01-10,2025,1,10,1,Friday
202212147971,2022-12-14,2022,12,14,4,Wednesday
202408133550,2024-08-13,2024,8,13,3,Tuesday
197311209615,1973-11-20,1973,11,20,4,Tuesday
202404249904,2024-04-24,2024,4,24,2,Wednesday
202403029210,2024-03-02,2024,3,2,1,Saturday
201502118662,2015-02-11,2015,2,11,1,Wednesday
200512075361,2005-12-07,2005,12,7,4,Wednesday
201707059339,2017-07-05,2017,7,5,3,Wednesday
201409102353,2014-09-10,2014,9,10,3,Wednesday
202504172931,2025-04-17,2025,4,17,2,Thursday
202408293640,2024-08-29,2024,8,29,3,Thursday
202410112981,2024-10-11,2024,10,11,4,Friday
201506067477,2015-06-06,2015,6,6,2,Saturday
202502272338,2025-02-27,2025,2,27,1,Thursday
201004282594,2010-04-28,2010,4,28,2,Wednesday
200009011778,2000-09-01,2000,9,1,3,Friday
200211131483,2002-11-13,2002,11,13,4,Wednesday
201602117211,2016-02-11,2016,2,11,1,Thursday
202205218388,2022-05-21,2022,5,21,2,Saturday
202309226370,2023-09-22,2023,9,22,3,Friday
200511162537,2005-11-16,2005,11,16,4,Wednesday
202411134323,2024-11-13,2024,11,13,4,Wednesday
202501317888,2025-01-31,2025,1,31,1,Friday
200307099220,2003-07-09,2003,7,9,3,Wednesday
200312178111,2003-12-17,2003,12,17,4,Wednesday
200405314307,2004-05-31,2004,5,31,2,Monday
202410146685,2024-10-14,2024,10,14,4,Monday
202408301862,2024-08-30,2024,8,30,3,Friday
200105182170,2001-05-18,2001,5,18,2,Friday
202508136173,2025-08-13,2025,8,13,3,Wednesday
202305312919,2023-05-31,2023,5,31,2,Wednesday
201806063511,2018-06-06,2018,6,6,2,Wednesday
202203014962,2022-03-01,2022,3,1,1,Tuesday
200707088197,2007-07-08,2007,7,8,3,Sunday
202405303229,2024-05-30,2024,5,30,2,Thursday
200205013576,2002-05-01,2002,5,1,2,Wednesday
202508014483,2025-08-01,2025,8,1,3,Friday
200706131575,2007-06-13,2007,6,13,2,Wednesday
201107125105,2011-07-12,2011,7,12,3,Tuesday
202110087338,2021-10-08,2021,10,8,4,Friday
201606013203,2016-06-01,2016,6,1,2,Wednesday
201508051774,2015-08-05,2015,8,5,3,Wednesday
202004297065,2020-04-29,2020,4,29,2,Wednesday
202410314052,2024-10-31,2024,10,31,4,Thursday
202106064355,2021-06-06,2021,6,6,2,Sunday
199406235298,1994-06-23,1994,6,23,2,Thursday
200810179622,2008-10-17,2008,10,17,4,Friday
202402278730,2024-02-27,2024,2,27,1,Tuesday
202412098893,2024-12-09,2024,12,9,4,Monday
201904115511,2019-04-11,2019,4,11,2,Thursday
201003182736,2010-03-18,2010,3,18,1,Thursday
201705302451,2017-05-30,2017,5,30,2,Tuesday
202303221904,2023-03-22,2023,3,22,1,Wednesday
200811206800,2008-11-20,2008,11,20,4,Thursday
202005061115,2020-05-06,2020,5,6,2,Wednesday
202403086495,2024-03-08,2024,3,8,1,Friday
195406304700,1954-06-30,1954,6,30,2,Wednesday
200410273637,2004-10-27,2004,10,27,4,Wednesday
201312259647,2013-12-25,2013,12,25,4,Wednesday
202307079801,2023-07-07,2023,7,7,3,Friday
201906282562,2019-06-28,2019,6,28,2,Friday
202402147934,2024-02-14,2024,2,14,1,Wednesday
200902059539,2009-02-05,2009,2,5,1,Thursday
201603231973,2016-03-23,2016,3,23,1,Wednesday
202307193936,2023-07-19,2023,7,19,3,Wednesday
199509225674,1995-09-22,1995,9,22,3,Friday
201011174360,2010-11-17,2010,11,17,4,Wednesday
201006241098,2010-06-24,2010,6,24,2,Thursday
198204098032,1982-04-09,1982,4,9,2,Friday
201406054850,2014-06-05,2014,6,5,2,Thursday
199910153517,1999-10-15,1999,10,15,4,Friday
202304051592,2023-04-05,2023,4,5,2,Wednesday
202406074829,2024-06-07,2024,6,7,2,Friday
202110285021,2021-10-28,2021,10,28,4,Thursday
202407187681,2024-07-18,2024,7,18,3,Thursday
199409101964,1994-09-10,1994,9,10,3,Saturday
199903311931,1999-03-31,1999,3,31,1,Wednesday
199511224983,1995-11-22,1995,11,22,4,Wednesday
202504297793,2025-04-29,2025,4,29,2,Tuesday
202104221077,2021-04-22,2021,4,22,2,Thursday
202410162263,2024-10-16,2024,10,16,4,Wednesday
202405027693,2024-05-02,2024,5,2,2,Thursday
202411201727,2024-11-20,2024,11,20,4,Wednesday
202403222462,2024-03-22,2024,3,22,1,Friday
200907153276,2009-07-15,2009,7,15,3,Wednesday
201303064770,2013-03-06,2013,3,6,1,Wednesday
202004109195,2020-04-10,2020,4,10,2,Friday
201412104439,2014-12-10,2014,12,10,4,Wednesday
202405089808,2024-05-08,2024,5,8,2,Wednesday
202105255703,2021-05-25,2021,5,25,2,Tuesday
201710278429,2017-10-27,2017,10,27,4,Friday
200804303537,2008-04-30,2008,4,30,2,Wednesday
197905257163,1979-05-25,1979,5,25,2,Friday
201504226729,2015-04-22,2015,4,22,2,Wednesday
202206028385,2022-06-02,2022,6,2,2,Thursday
202310113422,2023-10-11,2023,10,11,4,Wednesday
202212285229,2022-12-28,2022,12,28,4,Wednesday
201702105328,2017-02-10,2017,2,10,1,Friday
202410025394,2024-10-02,2024,10,2,4,Wednesday
202312142020,2023-12-14,2023,12,14,4,Thursday
200111014580,2001-11-01,2001,11,1,4,Thursday
200107207094,2001-07-20,2001,7,20,3,Friday
200908028522,2009-08-02,2009,8,2,3,Sunday
200704268713,2007-04-26,2007,4,26,2,Thursday
202410096807,2024-10-09,2024,10,9,4,Wednesday
202502074302,2025-02-07,2025,2,7,1,Friday
202109159533,2021-09-15,2021,9,15,3,Wednesday
198402172161,1984-02-17,1984,2,17,1,Friday
201905308262,2019-05-30,2019,5,30,2,Thursday
202010163145,2020-10-16,2020,10,16,4,Friday
202205041250,2022-05-04,2022,5,4,2,Wednesday
201109286487,2011-09-28,2011,9,28,3,Wednesday
199406151838,1994-06-15,1994,6,15,2,Wednesday
202103184406,2021-03-18,2021,3,18,1,Thursday
200607063610,2006-07-06,2006,7,6,3,Thursday
201606085700,2016-06-08,2016,6,8,2,Wednesday
201801172673,2018-01-17,2018,1,17,1,Wednesday
202406054689,2024-06-05,2024,6,5,2,Wednesday
202307085728,2023-07-08,2023,7,8,3,Saturday
200705019446,2007-05-01,2007,5,1,2,Tuesday
196602113995,1966-02-11,1966,2,11,1,Friday
201904248587,2019-04-24,2019,4,24,2,Wednesday
201901037192,2019-01-03,2019,1,3,1,Thursday
199910306823,1999-10-30,1999,10,30,4,Saturday
202411267420,2024-11-26,2024,11,26,4,Tuesday
201206239152,2012-06-23,2012,6,23,2,Saturday
202308182172,2023-08-18,2023,8,18,3,Friday
201812061268,2018-12-06,2018,12,6,4,Thursday
197705255663,1977-05-25,1977,5,25,2,Wednesday
199907098158,1999-07-09,1999,7,9,3,Friday
202305186533,2023-05-18,2023,5,18,2,Thursday
202412275136,2024-12-27,2024,12,27,4,Friday
202306183530,2023-06-18,2023,6,18,2,Sunday
200212183578,2002-12-18,2002,12,18,4,Wednesday
201602093948,2016-02-09,2016,2,9,1,Tuesday
201304188675,2013-04-18,2013,4,18,2,Thursday
201207179319,2012-07-17,2012,7,17,3,Tuesday
202306069115,2023-06-06,2023,6,6,2,Tuesday
201704198837,2017-04-19,2017,4,19,2,Wednesday
200001287592,2000-01-28,2000,1,28,1,Friday
202401086231,2024-01-08,2024,1,8,1,Monday
202410014410,2024-10-01,2024,10,1,4,Tuesday
202410068222,2024-10-06,2024,10,6,4,Sunday
201410243495,2014-10-24,2014,10,24,4,Friday
200705196719,2007-05-19,2007,5,19,2,Saturday
200005047674,2000-05-04,2000,5,4,2,Thursday
202412252610,2024-12-25,2024,12,25,4,Wednesday
201410152099,2014-10-15,2014,10,15,4,Wednesday
200509129803,2005-09-12,2005,9,12,3,Monday
200906029878,2009-06-02,2009,6,2,2,Tuesday
202308115916,2023-08-11,2023,8,11,3,Friday
201311202977,2013-11-20,2013,11,20,4,Wednesday
201309195477,2013-09-19,2013,9,19,3,Thursday
201409245053,2014-09-24,2014,9,24,3,Wednesday
201702084274,2017-02-08,2017,2,8,1,Wednesday
202505027372,2025-05-02,2025,5,2,2,Friday
201607209201,2016-07-20,2016,7,20,3,Wednesday
198812028872,1988-12-02,1988,12,2,4,Friday
201508206006,2015-08-20,2015,8,20,3,Thursday
202310258516,2023-10-25,2023,10,25,4,Wednesday
201907241895,2019-07-24,2019,7,24,3,Wednesday
201306124066,2013-06-12,2013,6,12,2,Wednesday
201105153166,2011-05-15,2011,5,15,2,Sunday
202305038987,2023-05-03,2023,5,3,2,Wednesday
202306136348,2023-06-13,2023,6,13,2,Tuesday
201806144079,2018-06-14,2018,6,14,2,Thursday
202507261844,2025-07-26,2025,7,26,3,Saturday
201309218039,2013-09-21,2013,9,21,3,Saturday
202305131133,2023-05-13,2023,5,13,2,Saturday
199912104706,1999-12-10,1999,12,10,4,Friday
202208189952,2022-08-18,2022,8,18,3,Thursday
200405193617,2004-05-19,2004,5,19,2,Wednesday
195704101319,1957-04-10,1957,4,10,2,Wednesday
202502068934,2025-02-06,2025,2,6,1,Thursday
202202174482,2022-02-17,2022,2,17,1,Thursday
201410012547,2014-10-01,2014,10,1,4,Wednesday
201504017036,2015-04-01,2015,4,1,2,Wednesday
201506173316,2015-06-17,2015,6,17,2,Wednesday
200506102798,2005-06-10,2005,6,10,2,Friday
197412203487,1974-12-20,1974,12,20,4,Friday
202404168160,2024-04-16,2024,4,16,2,Tuesday
201011241417,2010-11-24,2010,11,24,4,Wednesday
202312216257,2023-12-21,2023,12,21,4,Thursday
202212075095,2022-12-07,2022,12,7,4,Wednesday
202409261657,2024-09-26,2024,9,26,3,Thursday
200706289293,2007-06-28,2007,6,28,2,Thursday
202502288831,2025-02-28,2025,2,28,1,Friday
201405147877,2014-05-14,2014,5,14,2,Wednesday
201905155963,2019-05-15,2019,5,15,2,Wednesday
202411148146,2024-11-14,2024,11,14,4,Thursday
202404304941,2024-04-30,2024,4,30,2,Tuesday
202505236337,2025-05-23,2025,5,23,2,Friday
200606298119,2006-06-29,2006,6,29,2,Thursday
198312091050,1983-12-09,1983,12,9,4,Friday
201604275562,2016-04-27,2016,4,27,2,Wednesday
201710041418,2017-10-04,2017,10,4,4,Wednesday
197506205026,1975-06-20,1975,6,20,2,Friday
202404182005,2024-04-18,2024,4,18,2,Thursday
201503069458,2015-03-06,2015,3,6,1,Friday
201809059548,2018-09-05,2018,9,5,3,Wednesday
198605164223,1986-05-16,1986,5,16,2,Friday
200410283945,2004-10-28,2004,10,28,4,Thursday
201404168165,2014-04-16,2014,4,16,2,Wednesday
199111222943,1991-11-22,1991,11,22,4,Friday
200003178553,2000-03-17,2000,3,17,1,Friday
202110035982,2021-10-03,2021,10,3,4,Sunday
202211094643,2022-11-09,2022,11,9,4,Wednesday
198507038484,1985-07-03,1985,7,3,3,Wednesday
